Frequenza,Territorio,Indicatore,Sesso,Classe di età,Anno,Osservazione,Stato dell’osservazione,Nota - Territorio,Nota - Indicatore,Nota - Sesso,Nota - Classi di età,Nota - Dataset
Annuale,San Giovanni Rotondo,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,9,,,,,,
Annuale,San Giovanni Rotondo,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'13,385',,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,201,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,232,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,304,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,347,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,382,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,324,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,340,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,340,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,387,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,424,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,484,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,466,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,450,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,398,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,382,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,311,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,271,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,223,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,102,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,33,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,6,,,,,,
Annuale,San Marco in Lamis,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'6,407',,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,16,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,9,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,12,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,22,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,26,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,23,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,20,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,20,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,19,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,28,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,41,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,33,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,35,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,29,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,26,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,31,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,20,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,26,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,13,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,2,,,,,,
Annuale,San Marco la Catola,Popolazione residente al 31 dicembre,Femmine,Totale,2022,451,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,222,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,275,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,276,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,309,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,352,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,332,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,383,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,326,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,420,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,479,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,499,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,568,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,467,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,462,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,503,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,471,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,413,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,267,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,143,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,31,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,7,,,,,,
Annuale,San Nicandro Garganico,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'7,205',,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,88,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,125,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,136,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,153,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,184,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,164,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,145,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,139,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,163,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,209,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,208,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,225,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,177,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,149,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,147,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,132,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,100,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,68,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,36,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,13,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,San Paolo di Civitate,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'2,763',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,861,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,'1,075',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,'1,159',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,'1,452',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,'1,403',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,'1,290',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,'1,377',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,'1,366',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,'1,572',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,'1,801',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,'1,975',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,'2,010',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,'1,773',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,'1,665',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,'1,438',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,'1,241',,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,904,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,584,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,252,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,56,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,10,,,,,,
Annuale,San Severo,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'25,264',,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,36,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,34,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,47,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,39,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,42,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,39,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,42,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,44,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,55,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,69,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,71,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,57,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,56,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,71,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,47,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,52,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,42,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,43,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,21,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,9,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,'Sant"'Agata di Puglia',Popolazione residente al 31 dicembre,Femmine,Totale,2022,918,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,64,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,87,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,82,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,77,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,87,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,100,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,100,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,83,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,94,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,126,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,152,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,147,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,145,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,97,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,110,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,91,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,91,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,68,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,41,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,7,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Serracapriola,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'1,851',,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,132,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,167,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,174,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,181,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,185,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,151,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,190,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,186,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,221,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,184,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,225,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,198,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,158,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,157,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,125,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,67,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,78,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,52,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,16,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,5,,,,,,
Annuale,Stornara,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'2,852',,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,148,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,127,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,137,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,145,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,146,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,170,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,166,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,158,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,165,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,208,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,197,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,186,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,173,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,144,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,148,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,107,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,71,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,48,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,19,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,9,,,,,,
Annuale,Stornarella,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'2,672',,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,319,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,335,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,396,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,485,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,511,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,490,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,493,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,432,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,521,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,619,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,665,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,636,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,543,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,450,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,422,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,357,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,309,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,209,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,105,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,31,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,6,,,,,,
Annuale,Torremaggiore,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'8,334',,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,120,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,145,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,163,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,177,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,172,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,176,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,182,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,168,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,216,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,231,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,259,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,291,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,247,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,224,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,197,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,158,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,155,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,117,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,45,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,14,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Troia,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'3,459',,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,109,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,162,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,163,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,219,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,157,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,181,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,192,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,220,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,239,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,267,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,235,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,311,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,278,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,252,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,255,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,166,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,159,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,90,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,44,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,5,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Vico del Gargano,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'3,706',,,,,,
Annuale,Vieste,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,266,,,,,,
